Points,3000m,3000m sh,2 Miles,2 Miles sh,5000m,5000m sh,10000m,600m,600m sh,800m,800m sh,1000m,1000m sh,1500m,1500m sh,Mile,Mile sh,2000m,2000m sh,2000m SC,3000m SC
1151,7:44.19,7:48.10,8:20.16,8:27.45,13:16.31,13:30.00,27:47.91,1:14.87,1:16.67,1:45.75,1:47.64,2:16.26,2:19.47,3:36.75,3:40.45,3:53.91,3:58.38,4:58.27,5:02.32,5:24.57,8:23.58
1152,7:44.03,7:47.94,8:19.99,8:27.27,13:16.03,13:29.72,27:47.27,1:14.84,1:16.65,1:45.72,1:47.60,2:16.21,2:19.43,3:36.67,3:40.38,3:53.83,3:58.30,4:58.17,5:02.22,5:24.42,8:23.36
1153,7:43.87,7:47.77,8:19.81,8:27.10,13:15.75,13:29.45,27:46.63,1:14.82,1:16.62,1:45.68,1:47.57,2:16.17,2:19.38,3:36.60,3:40.31,3:53.75,3:58.23,4:58.07,5:02.12,5:24.28,8:23.13
1154,7:43.70,7:47.61,8:19.64,8:26.93,13:15.47,13:29.18,27:45.98,1:14.80,1:16.60,1:45.65,1:47.54,2:16.12,2:19.34,3:36.53,3:40.24,3:53.67,3:58.15,4:57.97,5:02.03,5:24.13,8:22.91
1155,7:43.54,7:47.45,8:19.46,8:26.75,13:15.20,13:28.90,27:45.34,1:14.77,1:16.57,1:45.62,1:47.50,2:16.08,2:19.30,3:36.45,3:40.16,3:53.59,3:58.07,4:57.87,5:01.93,5:23.98,8:22.69
1156,7:43.38,7:47.29,8:19.29,8:26.58,13:14.92,13:28.63,27:44.70,1:14.75,1:16.55,1:45.59,1:47.47,2:16.04,2:19.25,3:36.38,3:40.09,3:53.52,3:58.00,4:57.77,5:01.83,5:23.84,8:22.46
1157,7:43.21,7:47.13,8:19.11,8:26.41,13:14.64,13:28.36,27:44.06,1:14.73,1:16.53,1:45.55,1:47.44,2:15.99,2:19.21,3:36.31,3:40.02,3:53.44,3:57.92,4:57.67,5:01.73,5:23.69,8:22.24
1158,7:43.05,7:46.97,8:18.93,8:26.23,13:14.36,13:28.08,27:43.41,1:14.70,1:16.50,1:45.52,1:47.40,2:15.95,2:19.16,3:36.23,3:39.95,3:53.36,3:57.85,4:57.57,5:01.63,5:23.55,8:22.01
1159,7:42.89,7:46.81,8:18.76,8:26.06,13:14.08,13:27.81,27:42.77,1:14.68,1:16.48,1:45.49,1:47.37,2:15.90,2:19.12,3:36.16,3:39.88,3:53.28,3:57.77,4:57.47,5:01.54,5:23.40,8:21.79
1160,7:42.73,7:46.65,8:18.58,8:25.89,13:13.80,13:27.54,27:42.13,1:14.65,1:16.46,1:45.45,1:47.34,2:15.86,2:19.08,3:36.09,3:39.81,3:53.20,3:57.69,4:57.37,5:01.44,5:23.26,8:21.57
1161,7:42.56,7:46.48,8:18.41,8:25.71,13:13.52,13:27.27,27:41.49,1:14.63,1:16.43,1:45.42,1:47.30,2:15.82,2:19.03,3:36.02,3:39.73,3:53.12,3:57.62,4:57.27,5:01.34,5:23.11,8:21.34
1162,7:42.40,7:46.32,8:18.23,8:25.54,13:13.24,13:26.99,27:40.85,1:14.61,1:16.41,1:45.39,1:47.27,2:15.77,2:18.99,3:35.94,3:39.66,3:53.05,3:57.54,4:57.17,5:01.24,5:22.97,8:21.12
1163,7:42.24,7:46.16,8:18.06,8:25.37,13:12.97,13:26.72,27:40.21,1:14.58,1:16.39,1:45.35,1:47.24,2:15.73,2:18.95,3:35.87,3:39.59,3:52.97,3:57.46,4:57.07,5:01.15,5:22.82,8:20.90
1164,7:42.08,7:46.00,8:17.88,8:25.20,13:12.69,13:26.45,27:39.57,1:14.56,1:16.36,1:45.32,1:47.21,2:15.69,2:18.90,3:35.80,3:39.52,3:52.89,3:57.39,4:56.98,5:01.05,5:22.68,8:20.67
1165,7:41.91,7:45.84,8:17.71,8:25.02,13:12.41,13:26.18,27:38.93,1:14.54,1:16.34,1:45.29,1:47.17,2:15.64,2:18.86,3:35.73,3:39.45,3:52.81,3:57.31,4:56.88,5:00.95,5:22.53,8:20.45
1166,7:41.75,7:45.68,8:17.54,8:24.85,13:12.13,13:25.91,27:38.29,1:14.51,1:16.32,1:45.26,1:47.14,2:15.60,2:18.82,3:35.65,3:39.38,3:52.73,3:57.23,4:56.78,5:00.85,5:22.39,8:20.23
1167,7:41.59,7:45.52,8:17.36,8:24.68,13:11.85,13:25.63,27:37.65,1:14.49,1:16.29,1:45.22,1:47.11,2:15.55,2:18.77,3:35.58,3:39.30,3:52.66,3:57.16,4:56.68,5:00.76,5:22.24,8:20.01
1168,7:41.43,7:45.36,8:17.19,8:24.51,13:11.58,13:25.36,27:37.01,1:14.47,1:16.27,1:45.19,1:47.07,2:15.51,2:18.73,3:35.51,3:39.23,3:52.58,3:57.08,4:56.58,5:00.66,5:22.10,8:19.78
1169,7:41.27,7:45.20,8:17.01,8:24.33,13:11.30,13:25.09,27:36.37,1:14.44,1:16.25,1:45.16,1:47.04,2:15.47,2:18.69,3:35.43,3:39.16,3:52.50,3:57.01,4:56.48,5:00.56,5:21.95,8:19.56
1170,7:41.10,7:45.04,8:16.84,8:24.16,13:11.02,13:24.82,27:35.73,1:14.42,1:16.22,1:45.12,1:47.01,2:15.42,2:18.64,3:35.36,3:39.09,3:52.42,3:56.93,4:56.38,5:00.46,5:21.81,8:19.34
1171,7:40.94,7:44.88,8:16.66,8:23.99,13:10.74,13:24.55,27:35.09,1:14.39,1:16.20,1:45.09,1:46.97,2:15.38,2:18.60,3:35.29,3:39.02,3:52.34,3:56.85,4:56.28,5:00.37,5:21.66,8:19.11
1172,7:40.78,7:44.72,8:16.49,8:23.82,13:10.47,13:24.28,27:34.45,1:14.37,1:16.18,1:45.06,1:46.94,2:15.34,2:18.56,3:35.22,3:38.95,3:52.26,3:56.78,4:56.18,5:00.27,5:21.52,8:18.89
1173,7:40.62,7:44.56,8:16.31,8:23.65,13:10.19,13:24.01,27:33.82,1:14.35,1:16.15,1:45.03,1:46.91,2:15.29,2:18.51,3:35.15,3:38.88,3:52.19,3:56.70,4:56.08,5:00.17,5:21.38,8:18.67
1174,7:40.46,7:44.40,8:16.14,8:23.47,13:09.91,13:23.73,27:33.18,1:14.32,1:16.13,1:44.99,1:46.88,2:15.25,2:18.47,3:35.07,3:38.81,3:52.11,3:56.63,4:55.99,5:00.08,5:21.23,8:18.45
1175,7:40.30,7:44.24,8:15.97,8:23.30,13:09.64,13:23.46,27:32.54,1:14.30,1:16.11,1:44.96,1:46.84,2:15.21,2:18.43,3:35.00,3:38.73,3:52.03,3:56.55,4:55.89,4:59.98,5:21.09,8:18.23
1176,7:40.13,7:44.08,8:15.79,8:23.13,13:09.36,13:23.19,27:31.90,1:14.28,1:16.08,1:44.93,1:46.81,2:15.16,2:18.38,3:34.93,3:38.66,3:51.95,3:56.47,4:55.79,4:59.88,5:20.94,8:18.00
1177,7:39.97,7:43.92,8:15.62,8:22.96,13:09.08,13:22.92,27:31.27,1:14.25,1:16.06,1:44.89,1:46.78,2:15.12,2:18.34,3:34.86,3:38.59,3:51.88,3:56.40,4:55.69,4:59.79,5:20.80,8:17.78
1178,7:39.81,7:43.76,8:15.44,8:22.79,13:08.81,13:22.65,27:30.63,1:14.23,1:16.04,1:44.86,1:46.74,2:15.08,2:18.30,3:34.78,3:38.52,3:51.80,3:56.32,4:55.59,4:59.69,5:20.66,8:17.56
1179,7:39.65,7:43.60,8:15.27,8:22.62,13:08.53,13:22.38,27:29.99,1:14.21,1:16.01,1:44.83,1:46.71,2:15.03,2:18.25,3:34.71,3:38.45,3:51.72,3:56.25,4:55.49,4:59.59,5:20.51,8:17.34
1180,7:39.49,7:43.44,8:15.10,8:22.44,13:08.25,13:22.11,27:29.36,1:14.18,1:15.99,1:44.80,1:46.68,2:14.99,2:18.21,3:34.64,3:38.38,3:51.64,3:56.17,4:55.39,4:59.49,5:20.37,8:17.12
1181,7:39.33,7:43.28,8:14.92,8:22.27,13:07.98,13:21.84,27:28.72,1:14.16,1:15.97,1:44.76,1:46.65,2:14.95,2:18.17,3:34.57,3:38.31,3:51.56,3:56.09,4:55.29,4:59.40,5:20.22,8:16.90
1182,7:39.17,7:43.12,8:14.75,8:22.10,13:07.70,13:21.57,27:28.09,1:14.14,1:15.94,1:44.73,1:46.61,2:14.90,2:18.12,3:34.49,3:38.24,3:51.49,3:56.02,4:55.20,4:59.30,5:20.08,8:16.67
1183,7:39.01,7:42.96,8:14.58,8:21.93,13:07.43,13:21.30,27:27.45,1:14.11,1:15.92,1:44.70,1:46.58,2:14.86,2:18.08,3:34.42,3:38.17,3:51.41,3:55.94,4:55.10,4:59.20,5:19.94,8:16.45
1184,7:38.84,7:42.80,8:14.40,8:21.76,13:07.15,13:21.03,27:26.82,1:14.09,1:15.90,1:44.67,1:46.55,2:14.81,2:18.04,3:34.35,3:38.09,3:51.33,3:55.87,4:55.00,4:59.11,5:19.79,8:16.23
1185,7:38.68,7:42.64,8:14.23,8:21.59,13:06.87,13:20.76,27:26.18,1:14.07,1:15.87,1:44.63,1:46.52,2:14.77,2:18.00,3:34.28,3:38.02,3:51.25,3:55.79,4:54.90,4:59.01,5:19.65,8:16.01
1186,7:38.52,7:42.48,8:14.06,8:21.42,13:06.60,13:20.49,27:25.55,1:14.04,1:15.85,1:44.60,1:46.48,2:14.73,2:17.95,3:34.21,3:37.95,3:51.18,3:55.72,4:54.80,4:58.91,5:19.50,8:15.79
1187,7:38.36,7:42.33,8:13.88,8:21.25,13:06.32,13:20.22,27:24.91,1:14.02,1:15.83,1:44.57,1:46.45,2:14.68,2:17.91,3:34.13,3:37.88,3:51.10,3:55.64,4:54.70,4:58.82,5:19.36,8:15.57
1188,7:38.20,7:42.17,8:13.71,8:21.07,13:06.05,13:19.95,27:24.28,1:14.00,1:15.80,1:44.54,1:46.42,2:14.64,2:17.87,3:34.06,3:37.81,3:51.02,3:55.57,4:54.61,4:58.72,5:19.22,8:15.35
1189,7:38.04,7:42.01,8:13.54,8:20.90,13:05.77,13:19.68,27:23.65,1:13.97,1:15.78,1:44.50,1:46.39,2:14.60,2:17.82,3:33.99,3:37.74,3:50.94,3:55.49,4:54.51,4:58.62,5:19.07,8:15.13
1190,7:37.88,7:41.85,8:13.37,8:20.73,13:05.50,13:19.41,27:23.01,1:13.95,1:15.76,1:44.47,1:46.35,2:14.56,2:17.78,3:33.92,3:37.67,3:50.87,3:55.41,4:54.41,4:58.53,5:18.93,8:14.91
1191,7:37.72,7:41.69,8:13.19,8:20.56,13:05.22,13:19.14,27:22.38,1:13.93,1:15.73,1:44.44,1:46.32,2:14.51,2:17.74,3:33.85,3:37.60,3:50.79,3:55.34,4:54.31,4:58.43,5:18.79,8:14.69
1192,7:37.56,7:41.53,8:13.02,8:20.39,13:04.95,13:18.88,27:21.75,1:13.90,1:15.71,1:44.41,1:46.29,2:14.47,2:17.69,3:33.78,3:37.53,3:50.71,3:55.26,4:54.21,4:58.34,5:18.64,8:14.47
1193,7:37.40,7:41.37,8:12.85,8:20.22,13:04.67,13:18.61,27:21.12,1:13.88,1:15.69,1:44.37,1:46.25,2:14.43,2:17.65,3:33.70,3:37.46,3:50.64,3:55.19,4:54.12,4:58.24,5:18.50,8:14.24
1194,7:37.24,7:41.21,8:12.67,8:20.05,13:04.40,13:18.34,27:20.48,1:13.86,1:15.66,1:44.34,1:46.22,2:14.38,2:17.61,3:33.63,3:37.39,3:50.56,3:55.11,4:54.02,4:58.14,5:18.36,8:14.02
1195,7:37.08,7:41.06,8:12.50,8:19.88,13:04.12,13:18.07,27:19.85,1:13.83,1:15.64,1:44.31,1:46.19,2:14.34,2:17.57,3:33.56,3:37.32,3:50.48,3:55.04,4:53.92,4:58.05,5:18.22,8:13.80
1196,7:36.92,7:40.90,8:12.33,8:19.71,13:03.85,13:17.80,27:19.22,1:13.81,1:15.62,1:44.27,1:46.16,2:14.30,2:17.52,3:33.49,3:37.25,3:50.40,3:54.96,4:53.82,4:57.95,5:18.07,8:13.58
1197,7:36.76,7:40.74,8:12.16,8:19.54,13:03.58,13:17.53,27:18.59,1:13.79,1:15.59,1:44.24,1:46.12,2:14.25,2:17.48,3:33.42,3:37.18,3:50.33,3:54.89,4:53.72,4:57.85,5:17.93,8:13.36
1198,7:36.60,7:40.58,8:11.98,8:19.37,13:03.30,13:17.26,27:17.96,1:13.76,1:15.57,1:44.21,1:46.09,2:14.21,2:17.44,3:33.34,3:37.11,3:50.25,3:54.81,4:53.63,4:57.76,5:17.79,8:13.14
1199,7:36.44,7:40.42,8:11.81,8:19.20,13:03.03,13:17.00,27:17.33,1:13.74,1:15.55,1:44.18,1:46.06,2:14.17,2:17.39,3:33.27,3:37.03,3:50.17,3:54.74,4:53.53,4:57.66,5:17.64,8:12.92
1200,7:36.28,7:40.26,8:11.64,8:19.03,13:02.75,13:16.73,27:16.70,1:13.72,1:15.52,1:44.15,1:46.03,2:14.12,2:17.35,3:33.20,3:36.96,3:50.09,3:54.66,4:53.43,4:57.57,5:17.50,8:12.70
1201,7:36.12,7:40.11,8:11.47,8:18.86,13:02.48,13:16.46,27:16.06,1:13.69,1:15.50,1:44.11,1:45.99,2:14.08,2:17.31,3:33.13,3:36.89,3:50.02,3:54.59,4:53.33,4:57.47,5:17.36,8:12.48
1202,7:35.96,7:39.95,8:11.30,8:18.69,13:02.21,13:16.19,27:15.43,1:13.67,1:15.48,1:44.08,1:45.96,2:14.04,2:17.27,3:33.06,3:36.82,3:49.94,3:54.51,4:53.23,4:57.37,5:17.22,8:12.27
1203,7:35.80,7:39.79,8:11.12,8:18.52,13:01.93,13:15.92,27:14.80,1:13.65,1:15.46,1:44.05,1:45.93,2:13.99,2:17.22,3:32.99,3:36.75,3:49.86,3:54.44,4:53.14,4:57.28,5:17.07,8:12.05
1204,7:35.64,7:39.63,8:10.95,8:18.35,13:01.66,13:15.66,27:14.18,1:13.62,1:15.43,1:44.02,1:45.90,2:13.95,2:17.18,3:32.92,3:36.68,3:49.79,3:54.36,4:53.04,4:57.18,5:16.93,8:11.83
1205,7:35.48,7:39.47,8:10.78,8:18.18,13:01.39,13:15.39,27:13.55,1:13.60,1:15.41,1:43.98,1:45.86,2:13.91,2:17.14,3:32.84,3:36.61,3:49.71,3:54.29,4:52.94,4:57.09,5:16.79,8:11.61
1206,7:35.32,7:39.32,8:10.61,8:18.01,13:01.11,13:15.12,27:12.92,1:13.58,1:15.39,1:43.95,1:45.83,2:13.87,2:17.10,3:32.77,3:36.54,3:49.63,3:54.21,4:52.84,4:56.99,5:16.65,8:11.39
1207,7:35.16,7:39.16,8:10.44,8:17.84,13:00.84,13:14.85,27:12.29,1:13.55,1:15.36,1:43.92,1:45.80,2:13.82,2:17.05,3:32.70,3:36.47,3:49.56,3:54.14,4:52.75,4:56.90,5:16.50,8:11.17
1208,7:35.00,7:39.00,8:10.27,8:17.67,13:00.57,13:14.59,27:11.66,1:13.53,1:15.34,1:43.89,1:45.77,2:13.78,2:17.01,3:32.63,3:36.40,3:49.48,3:54.06,4:52.65,4:56.80,5:16.36,8:10.95
1209,7:34.84,7:38.84,8:10.09,8:17.50,13:00.29,13:14.32,27:11.03,1:13.51,1:15.32,1:43.85,1:45.74,2:13.74,2:16.97,3:32.56,3:36.33,3:49.40,3:53.99,4:52.55,4:56.70,5:16.22,8:10.73
1210,7:34.68,7:38.68,8:09.92,8:17.33,13:00.02,13:14.05,27:10.40,1:13.48,1:15.29,1:43.82,1:45.70,2:13.69,2:16.93,3:32.49,3:36.26,3:49.33,3:53.91,4:52.45,4:56.61,5:16.08,8:10.51
1211,7:34.52,7:38.53,8:09.75,8:17.16,12:59.75,13:13.79,27:09.78,1:13.46,1:15.27,1:43.79,1:45.67,2:13.65,2:16.88,3:32.42,3:36.19,3:49.25,3:53.84,4:52.36,4:56.51,5:15.93,8:10.29
1212,7:34.36,7:38.37,8:09.58,8:17.00,12:59.48,13:13.52,27:09.15,1:13.44,1:15.25,1:43.76,1:45.64,2:13.61,2:16.84,3:32.34,3:36.12,3:49.17,3:53.76,4:52.26,4:56.42,5:15.79,8:10.07
1213,7:34.20,7:38.21,8:09.41,8:16.83,12:59.20,13:13.25,27:08.52,1:13.42,1:15.23,1:43.72,1:45.61,2:13.57,2:16.80,3:32.27,3:36.05,3:49.10,3:53.69,4:52.16,4:56.32,5:15.65,8:09.86
1214,7:34.05,7:38.05,8:09.24,8:16.66,12:58.93,13:12.99,27:07.89,1:13.39,1:15.20,1:43.69,1:45.57,2:13.52,2:16.76,3:32.20,3:35.98,3:49.02,3:53.61,4:52.07,4:56.23,5:15.51,8:09.64
1215,7:33.89,7:37.90,8:09.07,8:16.49,12:58.66,13:12.72,27:07.27,1:13.37,1:15.18,1:43.66,1:45.54,2:13.48,2:16.71,3:32.13,3:35.91,3:48.94,3:53.54,4:51.97,4:56.13,5:15.37,8:09.42
1216,7:33.73,7:37.74,8:08.89,8:16.32,12:58.39,13:12.45,27:06.64,1:13.35,1:15.16,1:43.63,1:45.51,2:13.44,2:16.67,3:32.06,3:35.84,3:48.87,3:53.46,4:51.87,4:56.04,5:15.23,8:09.20
1217,7:33.57,7:37.58,8:08.72,8:16.15,12:58.12,13:12.19,27:06.01,1:13.32,1:15.13,1:43.60,1:45.48,2:13.39,2:16.63,3:31.99,3:35.77,3:48.79,3:53.39,4:51.77,4:55.94,5:15.08,8:08.98
1218,7:33.41,7:37.43,8:08.55,8:15.98,12:57.84,13:11.92,27:05.39,1:13.30,1:15.11,1:43.56,1:45.44,2:13.35,2:16.59,3:31.92,3:35.70,3:48.71,3:53.31,4:51.68,4:55.84,5:14.94,8:08.76
1219,7:33.25,7:37.27,8:08.38,8:15.81,12:57.57,13:11.65,27:04.76,1:13.28,1:15.09,1:43.53,1:45.41,2:13.31,2:16.54,3:31.85,3:35.63,3:48.64,3:53.24,4:51.58,4:55.75,5:14.80,8:08.55
1220,7:33.09,7:37.11,8:08.21,8:15.64,12:57.30,13:11.39,27:04.14,1:13.25,1:15.06,1:43.50,1:45.38,2:13.27,2:16.50,3:31.78,3:35.56,3:48.56,3:53.16,4:51.48,4:55.65,5:14.66,8:08.33
1221,7:32.93,7:36.96,8:08.04,8:15.48,12:57.03,13:11.12,27:03.51,1:13.23,1:15.04,1:43.47,1:45.35,2:13.22,2:16.46,3:31.70,3:35.49,3:48.48,3:53.09,4:51.39,4:55.56,5:14.52,8:08.11
1222,7:32.78,7:36.80,8:07.87,8:15.31,12:56.76,13:10.86,27:02.89,1:13.21,1:15.02,1:43.43,1:45.32,2:13.18,2:16.42,3:31.63,3:35.42,3:48.41,3:53.02,4:51.29,4:55.46,5:14.38,8:07.89
1223,7:32.62,7:36.64,8:07.70,8:15.14,12:56.49,13:10.59,27:02.26,1:13.18,1:15.00,1:43.40,1:45.28,2:13.14,2:16.37,3:31.56,3:35.35,3:48.33,3:52.94,4:51.19,4:55.37,5:14.23,8:07.68
1224,7:32.46,7:36.48,8:07.53,8:14.97,12:56.21,13:10.33,27:01.64,1:13.16,1:14.97,1:43.37,1:45.25,2:13.09,2:16.33,3:31.49,3:35.28,3:48.26,3:52.87,4:51.10,4:55.27,5:14.09,8:07.46
1225,7:32.30,7:36.33,8:07.36,8:14.80,12:55.94,13:10.06,27:01.01,1:13.14,1:14.95,1:43.34,1:45.22,2:13.05,2:16.29,3:31.42,3:35.21,3:48.18,3:52.79,4:51.00,4:55.18,5:13.95,8:07.24
1226,7:32.14,7:36.17,8:07.19,8:14.63,12:55.67,13:09.80,27:00.39,1:13.12,1:14.93,1:43.31,1:45.19,2:13.01,2:16.25,3:31.35,3:35.14,3:48.10,3:52.72,4:50.90,4:55.08,5:13.81,8:07.02
1227,7:31.98,7:36.02,8:07.02,8:14.47,12:55.40,13:09.53,26:59.77,1:13.09,1:14.90,1:43.27,1:45.15,2:12.97,2:16.20,3:31.28,3:35.07,3:48.03,3:52.64,4:50.81,4:54.99,5:13.67,8:06.81
1228,7:31.83,7:35.86,8:06.85,8:14.30,12:55.13,13:09.27,26:59.14,1:13.07,1:14.88,1:43.24,1:45.12,2:12.92,2:16.16,3:31.21,3:35.00,3:47.95,3:52.57,4:50.71,4:54.89,5:13.53,8:06.59
1229,7:31.67,7:35.70,8:06.68,8:14.13,12:54.86,13:09.00,26:58.52,1:13.05,1:14.86,1:43.21,1:45.09,2:12.88,2:16.12,3:31.14,3:34.93,3:47.87,3:52.50,4:50.61,4:54.80,5:13.39,8:06.37
1230,7:31.51,7:35.55,8:06.51,8:13.96,12:54.59,13:08.74,26:57.90,1:13.02,1:14.84,1:43.18,1:45.06,2:12.84,2:16.08,3:31.07,3:34.86,3:47.80,3:52.42,4:50.52,4:54.70,5:13.25,8:06.15
1231,7:31.35,7:35.39,8:06.34,8:13.79,12:54.32,13:08.47,26:57.27,1:13.00,1:14.81,1:43.15,1:45.03,2:12.80,2:16.03,3:31.00,3:34.79,3:47.72,3:52.35,4:50.42,4:54.61,5:13.11,8:05.94
1232,7:31.19,7:35.23,8:06.17,8:13.63,12:54.05,13:08.21,26:56.65,1:12.98,1:14.79,1:43.11,1:44.99,2:12.75,2:15.99,3:30.93,3:34.73,3:47.65,3:52.27,4:50.32,4:54.51,5:12.96,8:05.72
1233,7:31.04,7:35.08,8:06.00,8:13.46,12:53.78,13:07.94,26:56.03,1:12.95,1:14.77,1:43.08,1:44.96,2:12.71,2:15.95,3:30.86,3:34.66,3:47.57,3:52.20,4:50.23,4:54.42,5:12.82,8:05.50
1234,7:30.88,7:34.92,8:05.83,8:13.29,12:53.51,13:07.68,26:55.41,1:12.93,1:14.74,1:43.05,1:44.93,2:12.67,2:15.91,3:30.78,3:34.59,3:47.49,3:52.12,4:50.13,4:54.32,5:12.68,8:05.29
1235,7:30.72,7:34.77,8:05.66,8:13.12,12:53.24,13:07.41,26:54.78,1:12.91,1:14.72,1:43.02,1:44.90,2:12.63,2:15.87,3:30.71,3:34.52,3:47.42,3:52.05,4:50.03,4:54.23,5:12.54,8:05.07
1236,7:30.56,7:34.61,8:05.49,8:12.96,12:52.97,13:07.15,26:54.16,1:12.89,1:14.70,1:42.99,1:44.87,2:12.58,2:15.82,3:30.64,3:34.45,3:47.34,3:51.98,4:49.94,4:54.14,5:12.40,8:04.85
1237,7:30.41,7:34.45,8:05.32,8:12.79,12:52.70,13:06.89,26:53.54,1:12.86,1:14.68,1:42.95,1:44.83,2:12.54,2:15.78,3:30.57,3:34.38,3:47.27,3:51.90,4:49.84,4:54.04,5:12.26,8:04.64
1238,7:30.25,7:34.30,8:05.15,8:12.62,12:52.43,13:06.62,26:52.92,1:12.84,1:14.65,1:42.92,1:44.80,2:12.50,2:15.74,3:30.50,3:34.31,3:47.19,3:51.83,4:49.75,4:53.95,5:12.12,8:04.42
1239,7:30.09,7:34.14,8:04.98,8:12.45,12:52.16,13:06.36,26:52.30,1:12.82,1:14.63,1:42.89,1:44.77,2:12.46,2:15.70,3:30.43,3:34.24,3:47.11,3:51.75,4:49.65,4:53.85,5:11.98,8:04.20
1240,7:29.93,7:33.99,8:04.81,8:12.29,12:51.89,13:06.09,26:51.68,1:12.79,1:14.61,1:42.86,1:44.74,2:12.41,2:15.66,3:30.36,3:34.17,3:47.04,3:51.68,4:49.55,4:53.76,5:11.84,8:03.99
1241,7:29.78,7:33.83,8:04.64,8:12.12,12:51.62,13:05.83,26:51.06,1:12.77,1:14.59,1:42.83,1:44.71,2:12.37,2:15.61,3:30.29,3:34.10,3:46.96,3:51.61,4:49.46,4:53.66,5:11.70,8:03.77
1242,7:29.62,7:33.68,8:04.47,8:11.95,12:51.35,13:05.57,26:50.44,1:12.75,1:14.56,1:42.79,1:44.67,2:12.33,2:15.57,3:30.22,3:34.03,3:46.89,3:51.53,4:49.36,4:53.57,5:11.56,8:03.56
1243,7:29.46,7:33.52,8:04.30,8:11.78,12:51.08,13:05.30,26:49.82,1:12.73,1:14.54,1:42.76,1:44.64,2:12.29,2:15.53,3:30.15,3:33.96,3:46.81,3:51.46,4:49.26,4:53.47,5:11.42,8:03.34
1244,7:29.31,7:33.36,8:04.13,8:11.62,12:50.81,13:05.04,26:49.20,1:12.70,1:14.52,1:42.73,1:44.61,2:12.25,2:15.49,3:30.08,3:33.89,3:46.74,3:51.38,4:49.17,4:53.38,5:11.28,8:03.12
1245,7:29.15,7:33.21,8:03.96,8:11.45,12:50.54,13:04.78,26:48.58,1:12.68,1:14.49,1:42.70,1:44.58,2:12.20,2:15.45,3:30.01,3:33.82,3:46.66,3:51.31,4:49.07,4:53.29,5:11.14,8:02.91
1246,7:28.99,7:33.05,8:03.80,8:11.28,12:50.28,13:04.51,26:47.96,1:12.66,1:14.47,1:42.67,1:44.55,2:12.16,2:15.40,3:29.94,3:33.75,3:46.58,3:51.24,4:48.98,4:53.19,5:11.00,8:02.69
1247,7:28.84,7:32.90,8:03.63,8:11.12,12:50.01,13:04.25,26:47.34,1:12.63,1:14.45,1:42.64,1:44.51,2:12.12,2:15.36,3:29.87,3:33.69,3:46.51,3:51.16,4:48.88,4:53.10,5:10.86,8:02.48
1248,7:28.68,7:32.74,8:03.46,8:10.95,12:49.74,13:03.99,26:46.73,1:12.61,1:14.43,1:42.60,1:44.48,2:12.08,2:15.32,3:29.80,3:33.62,3:46.43,3:51.09,4:48.78,4:53.00,5:10.72,8:02.26
1249,7:28.52,7:32.59,8:03.29,8:10.78,12:49.47,13:03.73,26:46.11,1:12.59,1:14.40,1:42.57,1:44.45,2:12.03,2:15.28,3:29.73,3:33.55,3:46.36,3:51.02,4:48.69,4:52.91,5:10.58,8:02.05
1250,7:28.36,7:32.43,8:03.12,8:10.62,12:49.20,13:03.46,26:45.49,1:12.57,1:14.38,1:42.54,1:44.42,2:11.99,2:15.24,3:29.66,3:33.48,3:46.28,3:50.94,4:48.59,4:52.81,5:10.44,8:01.83
1251,7:28.21,7:32.28,8:02.95,8:10.45,12:48.93,13:03.20,26:44.87,1:12.54,1:14.36,1:42.51,1:44.39,2:11.95,2:15.19,3:29.59,3:33.41,3:46.21,3:50.87,4:48.50,4:52.72,5:10.30,8:01.62
1252,7:28.05,7:32.12,8:02.78,8:10.28,12:48.67,13:02.94,26:44.25,1:12.52,1:14.34,1:42.48,1:44.36,2:11.91,2:15.15,3:29.52,3:33.34,3:46.13,3:50.80,4:48.40,4:52.63,5:10.16,8:01.40
1253,7:27.90,7:31.97,8:02.61,8:10.12,12:48.40,13:02.68,26:43.64,1:12.50,1:14.31,1:42.44,1:44.32,2:11.87,2:15.11,3:29.45,3:33.27,3:46.06,3:50.72,4:48.31,4:52.53,5:10.02,8:01.19
1254,7:27.74,7:31.81,8:02.45,8:09.95,12:48.13,13:02.41,26:43.02,1:12.48,1:14.29,1:42.41,1:44.29,2:11.82,2:15.07,3:29.38,3:33.20,3:45.98,3:50.65,4:48.21,4:52.44,5:09.88,8:00.97
1255,7:27.58,7:31.66,8:02.28,8:09.79,12:47.86,13:02.15,26:42.40,1:12.45,1:14.27,1:42.38,1:44.26,2:11.78,2:15.03,3:29.31,3:33.13,3:45.91,3:50.57,4:48.12,4:52.34,5:09.74,8:00.76
1256,7:27.43,7:31.50,8:02.11,8:09.62,12:47.59,13:01.89,26:41.79,1:12.43,1:14.25,1:42.35,1:44.23,2:11.74,2:14.98,3:29.24,3:33.07,3:45.83,3:50.50,4:48.02,4:52.25,5:09.60,8:00.54
1257,7:27.27,7:31.35,8:01.94,8:09.45,12:47.33,13:01.63,26:41.17,1:12.41,1:14.22,1:42.32,1:44.20,2:11.70,2:14.94,3:29.17,3:33.00,3:45.75,3:50.43,4:47.92,4:52.16,5:09.46,8:00.33
